"","Race","Region","EDUC","Income"
"1855","Hispanic","Midwest","Secondary","20,000-39,999"
"1856","Hispanic","South","Professional","40,000-59,999"
"1857","White","West","Bachelors",NA
"1858","White","Midwest","Professional",NA
"1859","Black","South","Secondary","1-19,999"
"1860","White","South","Professional","1-19,999"
"1861","White","Midwest","Secondary","1-19,999"
"1862","White","Midwest","Masters","150,000 +"
"1863","Black","South","Secondary","1-19,999"
"1864","Hispanic","South","Secondary","20,000-39,999"
"1865","White","South","Secondary","40,000-59,999"
"1866","White","South","Masters","60,000-74,999"
"1867","White","South","Bachelors","20,000-39,999"
"1868","White","Midwest","Secondary","20,000-39,999"
"1869","White","West","Masters","1-19,999"
"1870","White","Midwest","Secondary","20,000-39,999"
"1871","White","Midwest","Bachelors","150,000 +"
"1872","White","South","Secondary","20,000-39,999"
"1873","White","Midwest","Secondary","1-19,999"
"1874","White","West","Masters","150,000 +"
"1875","Black","South","Secondary","40,000-59,999"
"1876","Hispanic","West","Secondary",NA
"1877","White","Midwest","Masters",NA
"1878","White","Northeast","Secondary","60,000-74,999"
"1879","White","South","Secondary","40,000-59,999"
"1880","White","South","Primary","20,000-39,999"
"1881","Asian/Pacific Islander","Northeast","Professional","20,000-39,999"
"1882","White","South","Secondary","20,000-39,999"
"1883","White","South","Professional","1-19,999"
"1884","Black","South","Primary","1-19,999"
"1885","White","Midwest","Masters","150,000 +"
"1886","White","West","Bachelors","40,000-59,999"
"1887","White","South","Secondary","40,000-59,999"
"1888","White","Northeast","Secondary","1-19,999"
"1889","White","Midwest","Secondary",NA
"1890","Other","Midwest","Secondary","60,000-74,999"
"1891","Black","South","Secondary",NA
"1892","Other","Northeast","Primary","20,000-39,999"
"1893","White","Midwest","Secondary","1-19,999"
"1894","Black","Northeast","Secondary","40,000-59,999"
"1895","White","Midwest","Masters","20,000-39,999"
"1896","White","West","Masters","150,000 +"
"1897","White","South","Secondary","40,000-59,999"
"1898","White","South","Secondary","60,000-74,999"
"1899","White","South","Professional","60,000-74,999"
"1900","White","South","Secondary","20,000-39,999"
"1901","White","Northeast","Bachelors","75,000-99,999"
"1902","White","West","Bachelors","75,000-99,999"
"1903","White","South","Bachelors","60,000-74,999"
"1904","White","Midwest","Secondary","75,000-99,999"
"1905","White","Midwest","Masters","100,000-149,999"
"1906","White","Midwest","Secondary","1-19,999"
"1907","Hispanic","Northeast","Secondary","1-19,999"
"1908","Asian/Pacific Islander","West","Secondary","40,000-59,999"
"1909","White","Midwest","Bachelors","150,000 +"
"1910","White","South","Secondary","60,000-74,999"
"1911","White","South","Primary","1-19,999"
"1912","White","Midwest","Bachelors","100,000-149,999"
"1913","White","South","Secondary","60,000-74,999"
"1914","White","South","Professional","40,000-59,999"
"1915","White","Midwest","Secondary","60,000-74,999"
"1916","White","Midwest","Bachelors","75,000-99,999"
"1917","Black","West","Professional","75,000-99,999"
"1918","White","South","Bachelors","100,000-149,999"
"1919","Other","South","Secondary","40,000-59,999"
"1920","Black","West","Secondary","75,000-99,999"
"1921","White","Midwest","Secondary","40,000-59,999"
"1922","White","South","Bachelors","40,000-59,999"
"1923","White","West","Masters","150,000 +"
"1924","White","Midwest","Secondary","60,000-74,999"
"1925","White","South","Professional","1-19,999"
"1926","White","South","Bachelors","60,000-74,999"
"1927","Other","South","Secondary","40,000-59,999"
"1928","White","Midwest","Secondary","75,000-99,999"
"1929","Asian/Pacific Islander","West","Bachelors","150,000 +"
"1930","White","Midwest","Secondary","20,000-39,999"
"1931","Asian/Pacific Islander","Midwest","Primary","20,000-39,999"
"1932","White","Midwest","Secondary","40,000-59,999"
"1933","Hispanic","West","Bachelors","75,000-99,999"
"1934","White","Midwest","Masters","100,000-149,999"
"1935","White","Midwest","Secondary",NA
"1936","White","South","Secondary","75,000-99,999"
"1937","White","South","Masters","40,000-59,999"
"1938","White","South","Secondary","40,000-59,999"
"1939","White","Midwest","Bachelors",NA
"1940","White","Midwest","Professional","1-19,999"
"1941","White","Midwest","Secondary","75,000-99,999"
"1942","White","West","Secondary","60,000-74,999"
"1943","White","West","Bachelors","100,000-149,999"
"1944","White","Midwest","Secondary","100,000-149,999"
"1945","Black","South","Secondary","75,000-99,999"
"1946","Hispanic","West","Professional","1-19,999"
"1947","White","South","Secondary","20,000-39,999"
"1948","Black","South","Bachelors","100,000-149,999"
"1949","Hispanic","Midwest","Primary","20,000-39,999"
"1950","White","South","Secondary","60,000-74,999"
"1951","White","South","Secondary","20,000-39,999"
"1952","Black","South","Secondary","1-19,999"
"1953","Hispanic","West","Secondary","1-19,999"
"1954","White","South","Bachelors","40,000-59,999"
"1955","Black","South","Professional","40,000-59,999"
"1956","Hispanic","Northeast","Primary","1-19,999"
"1957","White","Midwest","Secondary",NA
"1958","White","South","Secondary","40,000-59,999"
"1959","White","South","Secondary","20,000-39,999"
"1960","White","South","Secondary","100,000-149,999"
"1961","White","Midwest","Bachelors","40,000-59,999"
"1962","Hispanic","Midwest","Secondary",NA
"1963","White","South","Secondary","100,000-149,999"
"1964","Hispanic","West","Secondary","100,000-149,999"
"1965","White","South","Secondary","40,000-59,999"
"1966","White","Midwest","Masters","75,000-99,999"
"1967","White","South","Secondary","60,000-74,999"
"1968","White","South","Primary","1-19,999"
"1969","White","West","Professional","20,000-39,999"
"1970",NA,"South","Professional",NA
"1971","Black","Midwest","Secondary","1-19,999"
"1972","White","Midwest","Secondary","100,000-149,999"
"1973","Other","Midwest","Secondary","1-19,999"
"1974","Black","Midwest","Primary","1-19,999"
"1975","Hispanic","West","Secondary","20,000-39,999"
"1976","Hispanic","South","Professional","100,000-149,999"
"1977","White","Midwest","Secondary","40,000-59,999"
"1978","Hispanic","South","Primary","1-19,999"
"1979","White","Midwest","Primary","40,000-59,999"
"1980","White","South","Secondary","20,000-39,999"
"1981","White","Northeast","Bachelors","150,000 +"
"1982","White","Midwest","Secondary","75,000-99,999"
"1983","White","Midwest","Secondary","40,000-59,999"
"1984","Hispanic","South","Secondary","1-19,999"
"1985","White","South","Secondary","60,000-74,999"
"1986","White","South","Secondary","60,000-74,999"
"1987","White","West","Bachelors","40,000-59,999"
"1988","White","Midwest","Secondary","20,000-39,999"
"1989","White","Midwest","Secondary","20,000-39,999"
"1990","Black","Midwest","Secondary","40,000-59,999"
"1991","White","Midwest","Bachelors","40,000-59,999"
"1992","White","Midwest","Secondary","75,000-99,999"
"1993","White","West","Secondary","150,000 +"
"1994","White","South","Secondary","1-19,999"
"1995","White","Midwest","Secondary","40,000-59,999"
"1996","White","Midwest","Bachelors","100,000-149,999"
"1997","White","South","Secondary","150,000 +"
"1998","White","West","Masters","40,000-59,999"
"1999","Black","South","Secondary",NA
"2000","Black","South","Masters","40,000-59,999"
"2001","White","West","Secondary","40,000-59,999"
"2002","White","South","Secondary","75,000-99,999"
"2003","White","Midwest","Secondary","1-19,999"
"2004","Other","West","Secondary","20,000-39,999"
"2005","White","Midwest","Bachelors","20,000-39,999"
"2006","White","Midwest","Primary","150,000 +"
"2007","White","West","Secondary","60,000-74,999"
"2008","White","South","Masters","150,000 +"
"2009","Hispanic","West","Secondary","100,000-149,999"
"2010","White","Midwest","Masters","150,000 +"
"2011","White","South","Bachelors","100,000-149,999"
"2012","White","South","Secondary","1-19,999"
"2013","Black","South","Professional","60,000-74,999"
"2014","Black","West","Bachelors","75,000-99,999"
"2015","White","West","Secondary","20,000-39,999"
"2016","White","Midwest","Secondary","1-19,999"
"2017","White","South","Primary",NA
"2018","White","Northeast","Masters","150,000 +"
"2019","Black","Midwest","Secondary","100,000-149,999"
"2020","Hispanic","South","Secondary","1-19,999"
"2021","Black","South","Bachelors","150,000 +"
"2022","Black","West","Secondary","20,000-39,999"
"2023","White","Midwest","Secondary","40,000-59,999"
"2024","White","Midwest","Bachelors","100,000-149,999"
"2025","White","West","Secondary","75,000-99,999"
"2026","White","Midwest","Secondary","60,000-74,999"
"2027","White","Northeast","Secondary",NA
"2028","Black","West","Secondary","1-19,999"
"2029","White","Midwest","Masters","75,000-99,999"
"2030","White","Midwest","Secondary","100,000-149,999"
"2031","White","Midwest","Secondary","100,000-149,999"
"2032","White","West","Primary",NA
"2033","White","Midwest","Secondary","100,000-149,999"
"2034","White","South","Bachelors","40,000-59,999"
"2035","White","Midwest","Secondary","20,000-39,999"
"2036","White","West","Bachelors","75,000-99,999"
"2037","Hispanic","South","Primary","1-19,999"
"2038","Black","South","Professional","1-19,999"
"2039","White","Northeast","Primary","1-19,999"
"2040","Hispanic","South","Secondary","20,000-39,999"
"2041","White","Midwest","Bachelors","100,000-149,999"
"2042","Hispanic","South","Bachelors","150,000 +"
"2043","Black","Northeast","Bachelors","1-19,999"
"2044","White","South","Professional","40,000-59,999"
"2045","White","Midwest","Bachelors","60,000-74,999"
"2046","White","Midwest","Secondary",NA
"2047","Other","Midwest","Secondary","40,000-59,999"
"2048","White","South","Professional","40,000-59,999"
"2049","White","Midwest","Bachelors","75,000-99,999"
"2050","White","Midwest","Bachelors","40,000-59,999"
"2051","White","South","Secondary","1-19,999"
"2052","Black","South","Secondary","40,000-59,999"
"2053","Other","South","Primary","40,000-59,999"
"2054","White","Midwest","Bachelors","1-19,999"
"2055","Hispanic","South","Professional","20,000-39,999"
"2056","White","Midwest","Secondary","100,000-149,999"
"2057","White","South","Secondary","20,000-39,999"
"2058","Black","South","Secondary","75,000-99,999"
"2059","White","South","Secondary",NA
"2060","White","South","Secondary","75,000-99,999"
"2061","White","Midwest","Masters","100,000-149,999"
"2062","White","West","Secondary","150,000 +"
"2063","Other","South","Secondary","1-19,999"
"2064","White","Northeast","Bachelors","100,000-149,999"
"2065","White","South","Secondary",NA
"2066","White","West","Secondary",NA
"2067","White","South","Masters",NA
"2068","White","West","Secondary","40,000-59,999"
"2069","White","South","Secondary","40,000-59,999"
"2070","White","Midwest","Masters","100,000-149,999"
"2071","White","South","Bachelors","40,000-59,999"
"2072","White","Northeast","Bachelors","1-19,999"
"2073","Black","West","Secondary","20,000-39,999"
"2074","Black","South","Secondary","1-19,999"
"2075","Black","South","Secondary",NA
"2076","White","South","Masters","75,000-99,999"
"2077","White","South","Masters","40,000-59,999"
"2078","White","Northeast","Bachelors","20,000-39,999"
"2079","White","South","Secondary","100,000-149,999"
"2080","White","West","Masters","20,000-39,999"
"2081","Other","South","Masters","40,000-59,999"
"2082","White","Midwest","Bachelors","60,000-74,999"
"2083","Black","Midwest","Primary","1-19,999"
"2084","White","Midwest","Bachelors","100,000-149,999"
"2085","Hispanic","South","Bachelors","75,000-99,999"
"2086","White","Northeast","Masters","75,000-99,999"
"2087","White","West","Secondary","75,000-99,999"
"2088","White","Northeast","Secondary","40,000-59,999"
"2089","White","South","Primary","150,000 +"
"2090","White","Midwest","Secondary","60,000-74,999"
"2091","White","Northeast","Secondary","40,000-59,999"
"2092","White","West","Bachelors","100,000-149,999"
"2093","White","South","Secondary","20,000-39,999"
"2094","White","Midwest","Bachelors","100,000-149,999"
"2095","Other","West","Secondary","1-19,999"
"2096","Black","South","Secondary","1-19,999"
"2097","White","South","Secondary","100,000-149,999"
"2098","White","West","Bachelors",NA
"2099","White","West","Secondary","60,000-74,999"
"2100","Black","West","Bachelors","40,000-59,999"
"2101","Black","South","Secondary",NA
"2102","White","Midwest","Secondary","40,000-59,999"
"2103","White","Midwest","Secondary","40,000-59,999"
"2104","White","Midwest","Secondary","20,000-39,999"
"2105","White","Midwest","Secondary","20,000-39,999"
"2106","White","Midwest","Bachelors","40,000-59,999"
"2107","White","Northeast","Secondary","1-19,999"
"2108","White","South","Bachelors","75,000-99,999"
"2109","White","South","Bachelors",NA
"2110","White","South","Primary","20,000-39,999"
"2111","White","Midwest","Bachelors","150,000 +"
"2112","Black","South","Primary","1-19,999"
"2113","White","West","Bachelors","150,000 +"
"2114","White","West","Secondary","75,000-99,999"
"2115","White","Midwest","Secondary","40,000-59,999"
"2116","Black","Midwest","Secondary","1-19,999"
"2117","White","West","Secondary",NA
"2118","White","Midwest","Bachelors","150,000 +"
"2119","White","South","Bachelors","150,000 +"
"2120","Black","Midwest","Secondary","20,000-39,999"
"2121","Black","Northeast","Secondary","1-19,999"
"2122","Hispanic","South","Secondary",NA
"2123","White","South","Secondary","40,000-59,999"
"2124","White","West","Professional","150,000 +"
"2125","White","Midwest","Bachelors",NA
"2126","Hispanic","Midwest","Primary","60,000-74,999"
"2127","Asian/Pacific Islander","West","Bachelors",NA
"2128","Black","Midwest","Secondary","20,000-39,999"
"2129","White","West","Bachelors","100,000-149,999"
"2130","White","Midwest","Secondary","40,000-59,999"
"2131","White","Midwest","Professional","40,000-59,999"
"2132","White","West","Secondary","100,000-149,999"
"2133","Hispanic","Midwest","Secondary","75,000-99,999"
"2134","White","West","Secondary","40,000-59,999"
"2135","White","Northeast","Secondary","20,000-39,999"
"2136","White","West","Bachelors","40,000-59,999"
"2137","White","South","Secondary",NA
"2138","White","Midwest","Bachelors","100,000-149,999"
"2139","White","Northeast","Masters","150,000 +"
"2140","White","South","Secondary","20,000-39,999"
"2141","White","South","Bachelors","20,000-39,999"
"2142","Hispanic","South","Secondary","1-19,999"
"2143","White","West","Secondary","40,000-59,999"
"2144","White","Midwest","Bachelors","100,000-149,999"
"2145","White","South","Bachelors","1-19,999"
"2146","White","West","Secondary","20,000-39,999"
"2147","Hispanic","South","Professional","20,000-39,999"
"2148","White","Midwest","Bachelors","100,000-149,999"
"2149","Other","Midwest","Secondary","1-19,999"
"2150","White","Midwest","Primary","75,000-99,999"
"2151","White","Northeast","Masters","75,000-99,999"
"2152","White","Northeast","Secondary",NA
"2153","White","Northeast","Primary","100,000-149,999"
"2154","White","Midwest","Secondary","20,000-39,999"
"2155","White","West","Secondary","40,000-59,999"
"2156","White","Midwest","Masters","40,000-59,999"
"2157","White","Midwest","Professional","100,000-149,999"
"2158","Black","South","Secondary","20,000-39,999"
"2159","White","West","Secondary","150,000 +"
"2160","White","Northeast","Bachelors",NA
"2161","White","South","Professional","100,000-149,999"
"2162","Other","West","Bachelors","40,000-59,999"
"2163","White","Northeast","Masters","150,000 +"
"2164",NA,"Northeast","Secondary",NA
"2165","Hispanic","South","Secondary","60,000-74,999"
"2166","Asian/Pacific Islander","West","Bachelors","100,000-149,999"
"2167","Asian/Pacific Islander","West","Bachelors","75,000-99,999"
"2168","White","West","Secondary","100,000-149,999"
"2169","White","Midwest","Secondary","1-19,999"
"2170","White","West","Primary",NA
"2171","Hispanic","West","Masters","60,000-74,999"
"2172","White","West","Professional","40,000-59,999"
"2173","White","Midwest","Secondary","100,000-149,999"
"2174","White","Midwest","Bachelors",NA
"2175","White","Midwest","Bachelors","60,000-74,999"
"2176","Black","Midwest","Secondary","40,000-59,999"
"2177","White","South","Professional","20,000-39,999"
"2178","Black","South","Primary","20,000-39,999"
"2179","White","Midwest","Secondary","1-19,999"
"2180","White","West","Masters","150,000 +"
"2181","White","West","Primary","20,000-39,999"
"2182","White","Northeast","Masters","40,000-59,999"
"2183","White","Midwest","Secondary","20,000-39,999"
"2184","White","West","Primary","1-19,999"
"2185","White","Midwest","Secondary","100,000-149,999"
"2186","White","Midwest","Secondary","20,000-39,999"
"2187","Black","South","Secondary","1-19,999"
"2188","White","Midwest","Bachelors","60,000-74,999"
"2189","White","South","Primary","20,000-39,999"
"2190","White","Northeast","Secondary","20,000-39,999"
"2191","White","West","Primary","20,000-39,999"
"2192","White","West","Secondary","20,000-39,999"
"2193","Asian/Pacific Islander","South","Primary","1-19,999"
"2194","White","South","Secondary","75,000-99,999"
"2195","Hispanic","Midwest","Primary","20,000-39,999"
"2196","White","West","Secondary","150,000 +"
"2197","Hispanic","West","Secondary","100,000-149,999"
"2198","Hispanic","Midwest","Secondary","1-19,999"
"2199","White","Midwest","Professional","100,000-149,999"
"2200","White","South","Secondary","40,000-59,999"
"2201","Black","South","Professional","40,000-59,999"
"2202","Black","South","Primary","1-19,999"
"2203","White","Northeast","Secondary",NA
"2204","White","South","Primary","1-19,999"
"2205","White","South","Secondary","20,000-39,999"
"2206","Other","Midwest","Secondary","60,000-74,999"
"2207","Other","South","Bachelors","100,000-149,999"
"2208","White","Midwest","Bachelors",NA
"2209","White","Midwest","Primary","75,000-99,999"
"2210","White","South","Bachelors","75,000-99,999"
"2211","Hispanic","Northeast","Masters","20,000-39,999"
"2212","White","South","Bachelors","60,000-74,999"
"2213","Black","South","Secondary","1-19,999"
"2214","Other","Midwest","Bachelors","40,000-59,999"
"2215","Black","South","Professional","100,000-149,999"
"2216","Black","South","Secondary","20,000-39,999"
"2217","White","Northeast","Professional","100,000-149,999"
"2218","White","Midwest","Masters","20,000-39,999"
"2219","White","South","Secondary","60,000-74,999"
"2220","White","West","Secondary","20,000-39,999"
"2221","Black","South","Secondary","1-19,999"
"2222","White","South","Secondary","20,000-39,999"
"2223","White","South","Secondary",NA
"2224","White","Midwest","Secondary","20,000-39,999"
"2225","White","South","Masters","150,000 +"
"2226","White","Midwest","Professional",NA
"2227","White","Midwest","Bachelors","100,000-149,999"
"2228","White","Midwest","Masters","75,000-99,999"
"2229","Hispanic","Northeast","Bachelors","75,000-99,999"
"2230","Asian/Pacific Islander","West","Bachelors","100,000-149,999"
"2231","White","Midwest","Bachelors","20,000-39,999"
"2232","White","Northeast","Masters",NA
"2233","White","South","Primary","20,000-39,999"
"2234","Black","South","Secondary","1-19,999"
"2235","White","West","Bachelors","20,000-39,999"
"2236","Hispanic","West","Secondary","100,000-149,999"
"2237","Hispanic","West","Secondary","60,000-74,999"
"2238","Hispanic","South","Primary","1-19,999"
"2239","White","South","Secondary","75,000-99,999"
"2240","White","Northeast","Secondary","20,000-39,999"
"2241","Hispanic","West","Primary","20,000-39,999"
"2242","White","West","Bachelors","100,000-149,999"
"2243","White","Northeast","Primary","100,000-149,999"
"2244","Hispanic","West","Professional","75,000-99,999"
"2245","White","South","Masters","150,000 +"
"2246","Hispanic","South","Bachelors","60,000-74,999"
"2247","White","Northeast","Secondary",NA
"2248","White","Midwest","Primary","1-19,999"
"2249","White","Midwest","Bachelors","40,000-59,999"
"2250","Hispanic","Northeast","Secondary","100,000-149,999"
"2251","Hispanic","South","Primary","1-19,999"
"2252","White","South","Bachelors","100,000-149,999"
"2253","White","West","Masters","150,000 +"
"2254","White","West","Professional","20,000-39,999"
"2255","White","South","Secondary","40,000-59,999"
"2256","White","West","Secondary","150,000 +"
"2257","White","South","Professional","60,000-74,999"
"2258","White","West","Primary","1-19,999"
"2259","Black","Midwest","Primary","1-19,999"
"2260","Asian/Pacific Islander","South","Secondary",NA
"2261","White","South","Bachelors","40,000-59,999"
"2262","Other","Midwest","Secondary","20,000-39,999"
"2263","Hispanic","Northeast","Secondary","1-19,999"
"2264","Hispanic","West","Professional","1-19,999"
"2265","White","South","Secondary","20,000-39,999"
"2266","Hispanic","South","Secondary",NA
"2267","White","Northeast","Secondary","100,000-149,999"
"2268","White","South","Secondary","100,000-149,999"
"2269","White","South","Secondary","75,000-99,999"
"2270","Black","South","Primary","1-19,999"
"2271","White","Northeast","Secondary","20,000-39,999"
"2272","White","South","Bachelors",NA
"2273","Black","South","Secondary","20,000-39,999"
"2274","White","Midwest","Bachelors","75,000-99,999"
"2275","White","South","Secondary","1-19,999"
"2276","Black","South","Secondary","40,000-59,999"
"2277","White","Midwest","Professional","40,000-59,999"
"2278","Asian/Pacific Islander","Northeast","Masters","100,000-149,999"
"2279","White","South","Primary","40,000-59,999"
"2280","Other","South","Secondary","1-19,999"
"2281","White","Midwest","Bachelors","100,000-149,999"
"2282","Black","South","Secondary","40,000-59,999"
"2283","White","Midwest","Secondary","20,000-39,999"
"2284","Black","Midwest","Secondary","1-19,999"
"2285","Asian/Pacific Islander","South","Bachelors","150,000 +"
"2286","White","South","Bachelors","60,000-74,999"
"2287","White","Northeast","Secondary","60,000-74,999"
"2288","White","Midwest","Secondary",NA
"2289","White","Midwest","Professional","100,000-149,999"
"2290","White","Midwest","Professional","75,000-99,999"
"2291","White","Midwest","Secondary","40,000-59,999"
"2292","White","West","Bachelors","150,000 +"
"2293","Black","South","Masters","75,000-99,999"
"2294","White","South","Bachelors",NA
"2295","Other","Midwest","Secondary","20,000-39,999"
"2296","Asian/Pacific Islander","West","Secondary",NA
"2297","White","Midwest","Masters",NA
"2298","Asian/Pacific Islander","West","Secondary","40,000-59,999"
"2299","White","West","Bachelors","150,000 +"
"2300","White","Midwest","Secondary","1-19,999"
"2301","White","South","Bachelors","1-19,999"
"2302","White","Midwest","Secondary","40,000-59,999"
"2303","White","Midwest","Secondary","20,000-39,999"
"2304","White","West","Secondary","75,000-99,999"
"2305","White","South","Professional","40,000-59,999"
"2306","Black","South","Primary","1-19,999"
"2307","White","South","Primary","1-19,999"
"2308","Hispanic","West","Secondary","40,000-59,999"
"2309","Hispanic","West","Secondary","60,000-74,999"
"2310","White","West","Secondary",NA
"2311","White","Midwest","Bachelors","40,000-59,999"
"2312","White","Midwest","Secondary","20,000-39,999"
"2313","White","Midwest","Bachelors",NA
"2314","Black","South","Secondary","1-19,999"
"2315","White","South","Secondary","1-19,999"
"2316","White","South","Secondary","1-19,999"
"2317","White","South","Masters","150,000 +"
"2318","White","South","Bachelors","75,000-99,999"
"2319","White","West","Secondary","100,000-149,999"
"2320","White","Midwest","Masters",NA
"2321","White","South","Primary","20,000-39,999"
"2322","White","West","Bachelors","40,000-59,999"
"2323","White","South","Primary","1-19,999"
"2324","Hispanic","West","Bachelors","75,000-99,999"
"2325","White","Midwest","Secondary","60,000-74,999"
"2326","White","South","Bachelors","60,000-74,999"
"2327","White","South","Secondary","60,000-74,999"
"2328","Black","South","Secondary","60,000-74,999"
"2329","White","South","Masters","75,000-99,999"
"2330","Hispanic","West","Secondary","1-19,999"
"2331","Hispanic","West","Secondary",NA
"2332","Hispanic","South","Primary","1-19,999"
"2333","White","West","Secondary","60,000-74,999"
"2334","Other","South","Bachelors","20,000-39,999"
"2335","White","South","Secondary","75,000-99,999"
"2336","White","South","Secondary","150,000 +"
"2337","Black","Midwest","Secondary","1-19,999"
"2338","White","South","Secondary","40,000-59,999"
"2339","White","South","Professional","40,000-59,999"
"2340","White","South","Bachelors","40,000-59,999"
"2341","Hispanic","South","Primary","20,000-39,999"
"2342","White","South","Bachelors","60,000-74,999"
"2343","Hispanic","West","Secondary","40,000-59,999"
"2344","White","Northeast","Bachelors","40,000-59,999"
"2345","White","Midwest","Primary","100,000-149,999"
"2346","White","South","Secondary","1-19,999"
"2347","Black","South","Bachelors","40,000-59,999"
"2348","White","South","Secondary","20,000-39,999"
"2349","White","West","Bachelors",NA
"2350","White","South","Bachelors","75,000-99,999"
"2351","Black","South","Secondary","20,000-39,999"
"2352","Black","South","Secondary","1-19,999"
"2353","White","Midwest","Bachelors","75,000-99,999"
"2354","White","South","Bachelors","60,000-74,999"
"2355","Black","South","Primary","20,000-39,999"
"2356","White","Midwest","Professional","60,000-74,999"
"2357","White","South","Secondary","100,000-149,999"
"2358","White","Northeast","Secondary","20,000-39,999"
"2359","White","South","Secondary","20,000-39,999"
"2360","Black","South","Secondary","40,000-59,999"
"2361","Other","West","Primary","1-19,999"
"2362","Black","Northeast","Professional","40,000-59,999"
"2363","Asian/Pacific Islander","Midwest","Primary","20,000-39,999"
"2364","Hispanic","South","Bachelors","100,000-149,999"
"2365","Black","South","Primary","1-19,999"
"2366","White","Midwest","Bachelors","60,000-74,999"
"2367","Other","Midwest","Secondary","100,000-149,999"
"2368","White","Northeast","Primary","40,000-59,999"
"2369","White","Midwest","Masters","40,000-59,999"
"2370","Black","South","Secondary","1-19,999"
"2371","White","South","Secondary","100,000-149,999"
"2372","Other","Midwest","Secondary","40,000-59,999"
"2373","Hispanic","South","Secondary","40,000-59,999"
"2374","White","South","Bachelors","75,000-99,999"
"2375","Hispanic","West","Secondary","40,000-59,999"
"2376","Black","West","Professional","20,000-39,999"
"2377","White","West","Secondary","20,000-39,999"
"2378","White","South","Secondary","40,000-59,999"
"2379","White","South","Primary","1-19,999"
"2380","Black","Midwest","Professional","100,000-149,999"
"2381","Other","South","Professional","75,000-99,999"
"2382","Asian/Pacific Islander","Northeast","Professional","150,000 +"
"2383","White","Midwest","Professional",NA
"2384","White","Midwest","Secondary","60,000-74,999"
"2385","White","Midwest","Secondary","1-19,999"
"2386","White","South","Secondary","75,000-99,999"
"2387","Black","South","Secondary","150,000 +"
"2388","White","West","Secondary","100,000-149,999"
"2389","White","Midwest","Secondary","20,000-39,999"
"2390","White","Northeast","Secondary","100,000-149,999"
"2391","White","Midwest","Secondary","40,000-59,999"
"2392","Hispanic","South","Primary","1-19,999"
"2393","White","Midwest","Secondary","100,000-149,999"
"2394","Hispanic","West","Primary","60,000-74,999"
"2395","White","South","Secondary","40,000-59,999"
"2396","Hispanic","South","Primary","1-19,999"
"2397","White","West","Primary","20,000-39,999"
"2398","White","South","Secondary",NA
"2399","White","Midwest","Secondary","20,000-39,999"
"2400","White","Midwest","Secondary","40,000-59,999"
"2401","White","South","Bachelors","40,000-59,999"
"2402","White","South","Bachelors","60,000-74,999"
"2403","White","South","Bachelors","150,000 +"
"2404","Black","South","Secondary","75,000-99,999"
"2405","White","South","Secondary","1-19,999"
"2406","White","Midwest","Secondary","20,000-39,999"
"2407","White","Midwest","Masters","40,000-59,999"
"2408","White","South","Secondary","60,000-74,999"
"2409","White","South","Professional","20,000-39,999"
"2410","Black","Midwest","Secondary","40,000-59,999"
"2411","Black","West","Professional",NA
"2412","White","South","Professional","60,000-74,999"
"2413","White","West","Secondary",NA
"2414","White","Midwest","Bachelors","150,000 +"
"2415","Black","Northeast","Secondary",NA
"2416","Hispanic","West","Primary","20,000-39,999"
"2417","White","South","Secondary","1-19,999"
"2418","White","Northeast","Bachelors","75,000-99,999"
"2419","White","West","Primary","1-19,999"
"2420","Hispanic","South","Bachelors","150,000 +"
"2421","Black","Midwest","Bachelors",NA
"2422","White","West","Bachelors","150,000 +"
"2423","Hispanic","West","Secondary","20,000-39,999"
"2424","White","Midwest","Bachelors","75,000-99,999"
"2425","Hispanic","Midwest","Secondary","60,000-74,999"
"2426","Hispanic","Midwest","Secondary",NA
"2427","Hispanic","Northeast","Secondary",NA
"2428","White","South","Bachelors","60,000-74,999"
"2429","Hispanic","Midwest","Secondary","1-19,999"
"2430","White","South","Masters","100,000-149,999"
"2431","Hispanic","South","Secondary","60,000-74,999"
"2432","White","West","Secondary",NA
"2433","White","Northeast","Secondary","20,000-39,999"
"2434","White","West","Primary","40,000-59,999"
"2435","White","South","Bachelors","60,000-74,999"
"2436","White","Midwest","Primary","20,000-39,999"
"2437","Black","South","Secondary","20,000-39,999"
"2438","White","South","Secondary",NA
"2439","White","Midwest","Secondary","60,000-74,999"
"2440","White","Midwest","Masters","40,000-59,999"
"2441","White","Midwest","Secondary","20,000-39,999"
"2442","White","South","Primary","75,000-99,999"
"2443","White","Midwest","Professional","60,000-74,999"
"2444","Black","South","Secondary",NA
"2445","Hispanic","South","Secondary",NA
"2446","White","Midwest","Masters","150,000 +"
"2447","White","Northeast","Masters","Other"
"2448","White","South","Secondary","1-19,999"
"2449","White","South","Bachelors","40,000-59,999"
"2450","White","South","Professional","150,000 +"
"2451","White","South","Secondary",NA
"2452","Black","South","Secondary","60,000-74,999"
"2453","White","South","Professional","100,000-149,999"
"2454","White","West","Primary",NA
"2455","White","Midwest","Secondary","40,000-59,999"
"2456","White","Midwest","Secondary","40,000-59,999"
"2457","Black","Midwest","Secondary","1-19,999"
"2458","White","West","Secondary","1-19,999"
"2459","White","Northeast","Primary",NA
"2460","White","Midwest","Bachelors","150,000 +"
"2461","White","West","Secondary","60,000-74,999"
"2462","Hispanic","South","Secondary","100,000-149,999"
"2463","Black","West","Secondary","20,000-39,999"
"2464","Hispanic","Midwest","Secondary","20,000-39,999"
